feature_id,log2_fold_change,average_expression,moderated_t,p_value,fdr_bh,B,direction_robust,log2_fold_change_leave_out_EC,log2_fold_change_leave_out_FC,log2_fold_change_leave_out_TC,entrez_id,mapping_status
2320112,0.211806545594468,2.98473737089202,0.668592462490768,0.504502524844738,0.818346760173976,-5.56052349410562,True,0.167187514343121,0.289376529160566,0.178855593279713,,unmapped_entrez
2320114,0.0839887618267539,2.54507248826291,0.348385456997494,0.727905805096795,0.914239212063608,-5.70808895251097,False,-0.0110626538756744,0.241171646351246,0.0218572930046883,,unmapped_entrez
2320116,-0.241834343527026,2.24047288262911,-0.664536100687477,0.507088992604508,0.819435106649889,-5.56297189251097,True,-0.338159056970871,-0.200770729394264,-0.186573244215944,,unmapped_entrez
2320118,-0.137154485762417,2.87365549295775,-0.307089006877364,0.759085228366759,0.924731831061684,-5.72036666225062,True,-0.156306930202714,-0.215009436043829,-0.0401470910407133,,unmapped_entrez
2320120,0.0413896929496884,2.53589539906103,0.232700104141401,0.816224873269033,0.945326266010244,-5.73858289923298,False,-0.0803779951743511,0.0608244031216967,0.143722670901719,,unmapped_entrez
2320122,-0.680190758576479,6.52127220657277,-1.96394747803263,0.0508787147635182,0.487370144601548,-4.03038856800721,True,-0.624092023217394,-0.748487094336526,-0.667993158175523,,unmapped_entrez
2320124,0.237809184991356,11.0295323943662,2.15994546603652,0.0319285454100624,0.434082281050577,-3.67168839244291,True,0.265778721480286,0.23838738439288,0.209261449100888,,unmapped_entrez
2320126,0.0946784520895854,7.03043633802817,0.764142276460558,0.44565472447042,0.790717357620831,-5.49856478331835,True,0.102950154169795,0.0941663656827734,0.0869188364161984,,unmapped_entrez
2320128,0.241640281840806,2.39602089201878,0.819007141981113,0.41372697008527,0.776665732789897,-5.45927562927638,True,0.371756348662251,0.246691541627902,0.106472955232269,,unmapped_entrez
2320130,0.302691628758145,6.37620122065728,1.18633056745216,0.236855549331893,0.68216616003297,-5.12681359025506,True,0.226981429837852,0.247170114837012,0.433923341599574,,unmapped_entrez
2320132,0.499427974351057,4.49585924882629,1.48273932796036,0.139668922683557,0.606820255072072,-4.77117788745722,True,0.462556596792608,0.590454309015648,0.44527301724492,,unmapped_entrez
2320134,0.392751374378388,4.86353211267606,1.35703873395154,0.176251058490633,0.639433562696059,-4.931457735283,True,0.451476024405384,0.397160126741243,0.329617971988539,,unmapped_entrez
2320136,0.184536316955318,9.52475352112676,1.87950243863956,0.0615838073339594,0.50959442978488,-4.1748390046909,True,0.165858623594669,0.18439788681016,0.203352440461133,,unmapped_entrez
2320138,0.348938861438496,9.73300657276995,2.09868112023169,0.0370611259509727,0.454965110600591,-3.78731622221106,True,0.353288686282481,0.272964065831275,0.420563832201735,,unmapped_entrez
2320140,0.337293999508146,3.11498211267606,0.979303072927047,0.328576699764522,0.735116026363454,-5.32901661945843,True,0.136833726140938,0.481576455943465,0.393471816440032,,unmapped_entrez
2320142,0.0317149488184949,12.7817943661972,0.638473121501702,0.523872956455999,0.827002934705902,-5.57835012407217,False,-0.00827913315543505,0.0492389488480285,0.0541850307628842,,unmapped_entrez
2320144,-0.158131244717833,4.57981267605634,-0.792374554377482,0.42905208878739,0.783178902218434,-5.47868508008505,False,0.0242576697999697,-0.229021001619436,-0.269630402334031,,unmapped_entrez
2320146,-0.352737247163058,1.54849585915493,-2.0354129012982,0.0430874582437815,0.469503981883106,-3.90337938794488,True,-0.492708392591228,-0.335110566221974,-0.230392782675973,,unmapped_entrez
2320148,0.142432180319025,8.78361065727699,1.53110052888358,0.127274497220838,0.59622285963569,-4.7058185484933,True,0.0885902189374228,0.20957527472614,0.129131047293507,,unmapped_entrez
2320150,0.00553350398187469,11.0467098591549,0.0751688041194932,0.940153149088878,0.984507784902539,-5.76058993505519,False,-0.00923939833394982,0.00513026242311376,0.0207096478564512,,unmapped_entrez
2320188,-0.0958427572937532,4.82789751173709,-0.973186320311683,0.33159889643165,0.736333931869262,-5.33441021908445,True,-0.0900681098084251,-0.10500644613906,-0.0924537159337762,10218,unique_entrez_id
2320210,-0.00365867829012956,7.82117145539906,-0.0707504931296525,0.943664780440761,0.985203749520816,-5.76088252045108,False,0.023976390677503,-0.00598394073913955,-0.0289684848087495,29914,unique_entrez_id
2320347,-0.175694429373525,8.52091863849765,-1.84714924336034,0.066155663692679,0.514120641753611,-4.22856534141781,True,-0.180660638026731,-0.177067100283713,-0.169355549810113,93611,unique_entrez_id
2320374,-0.163201353793941,7.02499258215962,-2.50484918209414,0.0130231220989058,0.316044035853379,-2.96216298831852,True,-0.159402135322209,-0.168966549524407,-0.161235376535202,26270,unique_entrez_id
2320392,-0.0831034556387005,6.14659361502347,-0.914998606223776,0.361259190554488,0.751718287322257,-5.38403730669877,True,-0.0498533478565406,-0.0836625040057992,-0.115794515053754,374946,unique_entrez_id
2320411,-0.246513926763753,7.49916262910798,-2.43044941768325,0.0159338868184559,0.346783330076287,-3.12357085837377,True,-0.239610924726881,-0.287415422764149,-0.212515432800227,57085,unique_entrez_id
2320472,0.0881680760529999,9.28904774647887,0.737101602252572,0.461897143693834,0.797812737253863,-5.51693308993072,True,0.14327679717965,0.0608507981908595,0.0603766327885005,100379251;1185,ambiguous_multiple_entrez
