population,outcome,tau_suvr,reference_tau,full_mean,full_mean_ci95_lower,full_mean_ci95_upper,full_contrast_to_reference,full_contrast_to_reference_ci95_lower,full_contrast_to_reference_ci95_upper,retained_mean,retained_mean_ci95_lower,retained_mean_ci95_upper,retained_contrast_to_reference,retained_contrast_to_reference_ci95_lower,retained_contrast_to_reference_ci95_upper,retained_minus_full_mean,retained_minus_full_shape
all_eligible,hippocampus_icv,1.6712649999999998,1.341,0.004494206191562459,0.004338723622342531,0.0046496887607823875,-0.00038476347192218264,-0.0005675031320338257,-0.0002020238118105395,0.004545732998607549,0.004402460965885624,0.004689005031329475,-0.0003341179020062053,-0.0005031459714488694,-0.00016508983256354118,5.1526807045090134e-05,5.0645569915977354e-05
all_eligible,hippocampus_icv,1.6814479999999998,1.341,0.004485650828959619,0.004328237731358812,0.004643063926560426,-0.00039331883452502334,-0.0005790906413812554,-0.00020754702766879123,0.004537825331702144,0.004393115650897918,0.004682535012506369,-0.00034202556891161056,-0.0005135272655568499,-0.0001705238722663712,5.217450274252501e-05,5.129326561341277e-05
all_eligible,hippocampus_icv,1.6916309999999999,1.341,0.004477283318113251,0.00431805595758494,0.004636510678641563,-0.00040168634537138996,-0.0005903176376296231,-0.0002130550531131569,0.004530046537665198,0.004384025651487409,0.0046760674238429875,-0.0003498043629485564,-0.0005236064812210323,-0.00017600224467608048,5.276321955194688e-05,5.1881982422833555e-05
all_eligible,hippocampus_icv,1.7018139999999997,1.341,0.0044691018189091224,0.0043081783291272005,0.004630025308691044,-0.0004098678445755196,-0.0006011892639396781,-0.0002185464252113611,0.0045223953541140526,0.004375189962364648,0.004669600745863457,-0.00035745554649970265,-0.0005333890558285581,-0.00018152203717084712,5.329353520493012e-05,5.241229807581696e-05
all_eligible,hippocampus_icv,1.7119969999999998,1.341,0.0044611044912329905,0.004298604202808193,0.004623604779657788,-0.00041786517225165094,-0.0006117107414647567,-0.00022401960303854526,0.004514870518666044,0.004366606906746033,0.004663134130586055,-0.00036498038194771043,-0.0005428805599656969,-0.00018708020392972397,5.3766027433053455e-05,5.288479030394051e-05
all_eligible,hippocampus_icv,1.7221799999999998,1.341,0.00445328949497062,0.00428933233215763,0.00461724665778361,-0.00042568016851402164,-0.0006218873723120174,-0.00022947296471602586,0.004507470768938514,0.004358274189647213,0.0046566673482298145,-0.00037238013167524044,-0.0005520867044847312,-0.0001926735588657496,5.418127396789388e-05,5.3300036838781206e-05
all_eligible,hippocampus_icv,1.7323629999999999,1.341,0.004445654990007772,0.004280360924656453,0.004610949055359091,-0.0004333146734768692,-0.0006317245428976509,-0.0002349048040560874,0.0045001948425488015,0.004350188940733372,0.004650200744364231,-0.0003796560580649526,-0.0005610133481901037,-0.0001982987679398015,5.453985254102924e-05,5.365861541191657e-05
all_eligible,hippocampus_icv,1.742546,1.341,0.00443819913623021,0.004271687689732519,0.0046047105827279,-0.0004407705272544317,-0.0006412277276689776,-0.00024031332683988578,0.004493041477114246,0.004342347748130145,0.004643735206098347,-0.00038680942349950776,-0.0005696665061175558,-0.0002039523408814597,5.4842340884036535e-05,5.396110375492392e-05
all_eligible,hippocampus_icv,1.7527289999999998,1.341,0.004430920093523695,0.004263309878782399,0.004598530308264992,-0.00044804956996094677,-0.0006504024931725626,-0.00024569664674933096,0.004486009410252189,0.0043347466843752175,0.0046372721361291605,-0.0003938414903615663,-0.0005780523583814291,-0.00020963062234170352,5.508931672849361e-05,5.420807959938045e-05
all_eligible,hippocampus_icv,1.7629119999999998,1.341,0.004423816021773989,0.004255224318300718,0.00459240772524726,-0.0004551536417106526,-0.0006592545024517231,-0.00025105278096958206,0.004479097379579965,0.004327381325505453,0.004630813433654477,-0.0004007535210337891,-0.0005861772595637906,-0.00021532978250378757,5.528135780597573e-05,5.440012067686349e-05
