"go_id","NGenes","full_direction","full_p_value","full_fdr","direction_leave_out_EC","direction_leave_out_FC","direction_leave_out_TC","directionally_stable"
"GO:1990830",84,"Up",0.432235837270836,0.789130792312645,"Up","Up","Up",FALSE
"GO:0030100",25,"Up",0.433038701521279,0.789504111375004,"Up","Up","Up",FALSE
"GO:0032332",16,"Up",0.433090115416823,0.789504111375004,"Up","Up","Up",FALSE
"GO:0016051",10,"Down",0.434418806772836,0.789767362652234,"Down","Down","Down",FALSE
"GO:0019229",19,"Up",0.434343014911541,0.789767362652234,"Up","Up","Up",FALSE
"GO:0030512",74,"Up",0.434534553031291,0.789767362652234,"Up","Up","Up",FALSE
"GO:0050769",25,"Up",0.434267098176782,0.789767362652234,"Up","Up","Up",FALSE
"GO:0030513",34,"Up",0.435607776957891,0.791088747351897,"Up","Up","Up",FALSE
"GO:0150052",41,"Up",0.435912688355634,0.791088747351897,"Up","Up","Up",FALSE
"GO:2000767",13,"Up",0.436284649581101,0.791172909314982,"Up","Up","Up",FALSE
"GO:0035810",12,"Down",0.436994587030697,0.791279319288074,"Down","Down","Down",FALSE
"GO:0061178",13,"Up",0.436762551415139,0.791279319288074,"Up","Up","Up",FALSE
"GO:0002024",11,"Down",0.440213061480761,0.791809968855001,"Down","Down","Down",FALSE
"GO:0003272",10,"Up",0.439436790767706,0.791809968855001,"Up","Up","Up",FALSE
"GO:0003341",30,"Up",0.439259698345297,0.791809968855001,"Up","Up","Up",FALSE
"GO:0009311",14,"Down",0.439577438081467,0.791809968855001,"Down","Down","Down",FALSE
"GO:0010763",11,"Up",0.438952213952788,0.791809968855001,"Up","Up","Up",FALSE
"GO:0045165",52,"Down",0.438023000178976,0.791809968855001,"Down","Up","Down",FALSE
"GO:0055001",16,"Up",0.438243860614642,0.791809968855001,"Up","Up","Up",FALSE
"GO:0061136",16,"Down",0.440049246306754,0.791809968855001,"Up","Down","Down",FALSE
"GO:0072659",118,"Up",0.440220274865476,0.791809968855001,"Up","Up","Up",FALSE
"GO:0051602",26,"Down",0.441207152876898,0.792998063232886,"Down","Down","Down",FALSE
"GO:0006637",14,"Down",0.44239874032247,0.793108156105302,"Down","Down","Down",FALSE
"GO:0042307",32,"Down",0.442251354055406,0.793108156105302,"Down","Down","Down",FALSE
"GO:0043252",11,"Up",0.442573934024193,0.793108156105302,"Up","Up","Up",FALSE
"GO:1904507",13,"Down",0.442145095078384,0.793108156105302,"Down","Down","Down",FALSE
"GO:0048246",11,"Down",0.443789659208179,0.794700716194454,"Down","Down","Down",FALSE
"GO:0045945",16,"Up",0.445480723824102,0.797141501393643,"Up","Down","Up",FALSE
"GO:0050900",23,"Down",0.445923261201838,0.797346228639049,"Down","Down","Down",FALSE
"GO:0051289",55,"Down",0.446472385727644,0.797741100969246,"Down","Down","Down",FALSE
"GO:0006811",92,"Up",0.448463055840049,0.798240617160884,"Up","Up","Up",FALSE
"GO:0006941",13,"Up",0.450313600610587,0.798240617160884,"Up","Up","Up",FALSE
"GO:0021846",10,"Up",0.449437961045097,0.798240617160884,"Up","Up","Up",FALSE
"GO:0033137",12,"Up",0.450484244081055,0.798240617160884,"Up","Up","Up",FALSE
"GO:0042981",135,"Down",0.448331256186691,0.798240617160884,"Down","Down","Down",FALSE
"GO:0045773",26,"Up",0.449276622245649,0.798240617160884,"Up","Up","Up",FALSE
"GO:0045776",26,"Down",0.449871891591507,0.798240617160884,"Down","Down","Down",FALSE
"GO:0048009",26,"Up",0.448566026276557,0.798240617160884,"Up","Up","Up",FALSE
"GO:0051209",37,"Down",0.45069387931882,0.798240617160884,"Down","Down","Down",FALSE
"GO:0060285",10,"Up",0.44731413416995,0.798240617160884,"Up","Up","Up",FALSE
"GO:0086009",11,"Up",0.448840976359644,0.798240617160884,"Up","Up","Up",FALSE
"GO:1904645",13,"Down",0.448220346265136,0.798240617160884,"Down","Down","Down",FALSE
"GO:0000463",10,"Down",0.454548760560845,0.798431645618016,"Up","Down","Down",FALSE
